Queries	Recommendation System
Hospitals near me	1
Suggest a hospital for cancer treatment	1
Hospital  for eye treatment	1
consultation fees in near by hospitals	1
Best doctors in near hospitals	1
Tell me a good hospital	1
Good treatment given hospitals for  cardiology problems	1
Best hospitals for emergency treatments	1
Tell me a good game	0
Suggest me a good game	0
I want to play a game related to $genre	0
I want to play a $genre game	0
$genre game	0
I want to play a $gender game for this $age	0
I want to play $gender game	0
I want to play games available for $platform	0
$platform games	0
$gender games	0
$age games	0
$genre game for $gender	0
$genre game for $age	0
$genre game for $platform	0
I want to play an exciting game today	0
Suggest some good games for $age	0
Suggest some $genre games	0
Today i want to play interesting game	0
what games are available under 13? 	0
search for $platform games	0
Are there any discount in hospital bill	1
Doctor appointment is available for kidney problem	1
Near me which hospital has COVID19 test available	1
which hospital is better to cure Tuberclossis	1
Is ther any hospital to takeup emergency cases	1
In which hospital sugerie is available	1
How much fees is taking for doctor consultation	1
Is there any free checkup hospital near me 	1
 Is there any COVID-19 treatment available in this hospital	1
Near me which hospital has covid19 patients are there	1
which hospital is multi-specialist hospital near me	1
In hyderabad which hospital has records of successfull operatrions	1
